LAT,LNG,COURSE,SPEED,ELEV,HDOP,FIX,UTC_DATE,UTC_TIME,SENSOR_ADD,NDRE,NDVI,distance,LAI_VI,CCC_VI,RE,NIR,R,Air_T,RH,CT,I_PAR,R_PAR,PRES,CH1,CH2
"30.247465","-92.35006667","102.2","1.2","9.4","0.9",GPS,"80623","203855","1","0.26","0.698","34.329","1.022","1.085","20.255","34.52","6.134","37.11","37.78","30.32","1751.84","66.31","101.38","0.265104","0.144846"
"30.24746333","-92.35006167","102.2","1","9.6","0.9",GPS,"80623","203856","1","0.289","0.739","30.103","1.253","1.394","19.883","36.038","5.399","37.05","37.5","30.18","1772.62","62.43","101.38","0.264966","0.144737"
"30.24746333","-92.35005667","102.2","1","9.6","0.9",GPS,"80623","203857","1","0.224","0.581","41.704","0.78","0.739","20.76","32.73","8.687","36.98","37.19","31.07","1746.19","77.52","101.37","0.264844","0.144624"
"30.24746333","-92.35005167","102.2","1","9.6","0.9",GPS,"80623","203858","1","0.235","0.591","32.205","0.849","0.826","20.601","33.264","8.549","36.95","36.94","31.81","1701.75","80.3","101.38","0.264706","0.144526"
"30.24746333","-92.35004667","102.2","1","9.7","0.9",GPS,"80623","203859","1","0.24","0.685","28.982","0.881","0.904","20.532","33.502","6.268","36.89","36.8","31.1","1621.86","57.44","101.38","0.264589","0.144418"
"30.24746333","-92.35004167","102.2","0.9","9.7","0.9",GPS,"80623","203900","1","0.192","0.557","29.17","0.607","0.532","21.227","31.294","8.91","36.8","36.87","31.2","1590.3","52.73","101.38","0.264462","0.14432"
"30.24746167","-92.35003667","102.2","0.9","9.7","0.9",GPS,"80623","203901","1","0.094","0.315","27.162","0.23","0.126","22.823","27.545","14.335","36.74","37.1","32.1","1605.69","77.27","101.37","0.264339","0.144214"
"30.24746167","-92.35003","102.2","1.2","9.7","0.9",GPS,"80623","203902","1","0.243","0.687","28.132","0.899","0.927","20.495","33.636","6.246","36.65","37.18","30.44","1646.75","66.59","101.37","0.264291","0.144115"
"30.24746167","-92.35002333","102.2","1.1","9.7","0.9",GPS,"80623","203903","1","0.255","0.664","28.741","0.984","1.023","20.326","34.253","6.91","36.59","37.55","30.63","1655.9","57.82","101.37","0.264263","0.144106"
"30.24746167","-92.35001667","100.1","1.4","9.7","0.9",GPS,"80623","203904","1","0.121","0.309","35.916","0.316","0.187","22.355","28.496","15.039","36.55","38.16","32.34","1671.85","63.51","101.37","0.264151","0.143997"
"30.24746","-92.35001167","100.1","1.1","9.8","0.9",GPS,"80623","203905","1","0.319","0.663","35.201","1.553","1.77","19.506","37.787","7.659","36.47","38.18","30.66","1756.22","53.6","101.37","0.264025","0.143911"
"30.24746","-92.35000667","100.1","1","9.7","0.9",GPS,"80623","203906","1","0.234","0.668","31.779","0.844","0.852","20.612","33.226","6.617","36.38","38.11","30.55","1626.4","38.42","101.37","0.263921","0.143811"
"30.24746","-92.35","85.4","1.2","9.8","0.9",GPS,"80623","203907","1","0.141","0.344","28.32","0.387","0.252","22.025","29.233","14.263","36.29","38.19","31.82","1633.77","61.19","101.38","0.263805","0.143715"
"30.24746","-92.34999333","93.3","1.2","9.9","0.9",GPS,"80623","203908","1","0.226","0.636","25.603","0.793","0.778","20.728","32.835","7.296","36.23","38.51","31.58","1606.57","75.33","101.38","0.26368","0.143629"
"30.24746","-92.34998833","86.3","1.3","10","0.9",GPS,"80623","203909","1","0.185","0.542","31.647","0.573","0.491","21.331","31.001","9.218","36.2","38.68","30.75","1697.25","59.23","101.37","0.263575","0.143526"
"30.24746","-92.34998333","86.3","1","10.2","0.9",GPS,"80623","203910","1","0.085","0.263","42.061","0.205","0.102","22.973","27.26","15.895","36.12","38.52","31.59","1613.84","66.04","101.37","0.263454","0.143441"
"30.24745833","-92.34997833","86.3","1","10.3","0.9",GPS,"80623","203911","1","0.129","0.495","31.725","0.345","0.251","22.213","28.805","9.722","36.04","38.17","32.54","1623.04","68.31","101.37","0.263347","0.143347"
"30.24745833","-92.34997167","86.3","1.1","10.4","0.9",GPS,"80623","203912","1","0.233","0.707","29.589","0.838","0.861","20.626","33.178","5.69","35.98","37.9","31.72","1687.03","82.64","101.37","0.263226","0.14327"
"30.24745833","-92.34996667","86.3","1.1","10.4","0.9",GPS,"80623","203913","1","0.292","0.766","27.69","1.283","1.44","19.842","36.218","4.809","35.96","38.1","30.65","1558.51","55.57","101.37","0.263135","0.143164"
"30.24746","-92.34996","86.3","1","10.5","0.9",GPS,"80623","203914","1","0.24","0.594","32.363","0.882","0.867","20.529","33.515","8.538","35.96","38.61","31.09","1632.46","47.14","101.37","0.263025","0.143073"
"30.24746","-92.349955","86.3","1.1","10.6","0.9",GPS,"80623","203915","1","0.206","0.511","35.946","0.678","0.593","21.022","31.902","10.336","35.99","38.72","31.94","1592.42","52.73","101.37","0.26292","0.142973"
"30.24746","-92.34995","86.3","1","10.6","0.9",GPS,"80623","203916","1","0.188","0.489","40.005","0.587","0.486","21.289","31.118","10.678","36.03","38.91","31.01","1703.18","49.4","101.37","0.262814","0.142878"
"30.24746","-92.34994667","86.3","0.7","10.7","0.9",GPS,"80623","203917","1","0.209","0.567","34.233","0.694","0.634","20.977","32.038","8.845","36.07","39.15","30.8","1668.74","40.57","101.37","0.262699","0.142787"
"30.24746","-92.34994333","86.3","0.8","10.8","0.9",GPS,"80623","203918","1","0.285","0.579","35.218","1.222","1.296","19.929","35.841","9.553","36.11","39.12","31.16","1633.54","33.06","101.37","0.262615","0.142679"
"30.24745833","-92.34993833","86.3","0.9","10.9","0.9",GPS,"80623","203919","1","0.162","0.334","30.477","0.473","0.324","21.68","30.073","15.005","36.13","39.26","32.53","1652","61.43","101.37","0.262509","0.142587"
"30.24745833","-92.34993333","86.3","1","11","0.9",GPS,"80623","203920","1","0.311","0.734","33.735","1.469","1.671","19.603","37.317","5.732","36.16","39.25","30.69","1575.79","43.91","101.37","0.262404","0.142491"
"30.24745833","-92.34992833","100.8","1.2","11","0.9",GPS,"80623","203921","1","0.276","0.708","36.687","1.14","1.238","20.055","35.316","6.044","36.16","39.04","30.99","1505.6","34.64","101.37","0.262303","0.142394"
"30.24745833","-92.34992333","100.8","0.9","11","0.9",GPS,"80623","203922","1","0.193","0.563","39.975","0.613","0.541","21.21","31.345","8.753","36.11","38.8","31.86","1456.71","40.93","101.37","0.262191","0.142302"
"30.24745833","-92.34991833","100.8","1","11.1","0.9",GPS,"80623","203923","1","0.346","0.776","32.958","1.875","2.203","19.189","39.455","4.972","36.05","38.66","29.9","1437","35.46","101.37","0.262085","0.1422"
"30.24745833","-92.34991333","100.8","1.1","11.1","0.9",GPS,"80623","203924","1","0.356","0.793","32.324","2.017","2.381","19.071","40.129","4.629","36","39.06","29.38","1493.35","27.74","101.37","0.261972","0.142112"
"30.24745833","-92.34990667","100.8","1.1","11.1","0.9",GPS,"80623","203925","1","0.217","0.587","42.465","0.739","0.693","20.862","32.4","8.42","35.96","39.31","30.24","1524.09","32.91","101.37","0.261871","0.142005"
"30.24745833","-92.3499","80.7","1.2","11.1","0.9",GPS,"80623","203926","1","0.306","0.742","32.514","1.413","1.6","19.671","36.995","5.485","35.95","39.48","31.82","1558.63","67.43","101.37","0.261766","0.1419"
"30.24745833","-92.349895","90","1.2","11.2","0.9",GPS,"80623","203927","1","0.277","0.684","32.22","1.156","1.249","20.03","35.415","6.644","35.97","39.63","30.68","1678.64","49.81","101.37","0.261664","0.141788"
"30.24745833","-92.34989","90","1.1","11.2","0.9",GPS,"80623","203928","1","0.247","0.593","35.061","0.929","0.924","20.433","33.857","8.655","36","40.1","30.68","1686.24","51.91","101.37","0.261563","0.141682"
"30.24745667","-92.34988333","90","0.9","11.1","0.9",GPS,"80623","203929","1","0.15","0.468","38.296","0.423","0.316","21.873","29.594","10.726","36.04","40.86","32.43","1714.8","78.01","101.37","0.261456","0.14159"
"30.24745667","-92.34987833","90","1.1","11.2","0.9",GPS,"80623","203930","1","0.25","0.665","35.544","0.945","0.974","20.402","33.971","6.834","36.05","41.09","31.04","1718.43","67.09","101.37","0.261359","0.141486"
"30.24745667","-92.34987333","90","1.1","11.3","0.9",GPS,"80623","203931","1","0.196","0.513","35.789","0.628","0.539","21.165","31.475","10.129","36.06","40.86","30.94","1669.27","54.72","101.37","0.261238","0.141402"
"30.24745667","-92.34986833","90","1","11.4","0.9",GPS,"80623","203932","1","0.141","0.327","36.463","0.389","0.25","22.015","29.256","14.853","36.09","40.71","32.88","1698.38","67.74","101.37","0.261139","0.141295"
"30.24745667","-92.34986333","90","1","11.5","0.9",GPS,"80623","203933","1","0.302","0.727","34.132","1.38","1.554","19.712","36.805","5.82","36.07","40.87","31.75","1634.88","60.89","101.36","0.261037","0.141203"
"30.24745667","-92.34985833","90","1","11.6","0.9",GPS,"80623","203934","1","0.303","0.716","34.868","1.385","1.557","19.706","36.832","6.091","35.98","41.31","31.03","1645.92","46.22","101.37","0.260925","0.141119"
"30.24745667","-92.349855","90","0.9","11.7","0.9",GPS,"80623","203935","1","0.237","0.381","35.17","0.862","0.749","20.573","33.361","14.966","35.89","42.04","31.69","1645.3","47.13","101.37","0.260816","0.141029"
"30.24745667","-92.34985","90","1","11.8","0.9",GPS,"80623","203936","1","0.243","0.626","34.12","0.899","0.902","20.493","33.64","7.735","35.79","41.85","33","1726.56","90.94","101.36","0.260694","0.140959"
"30.24745667","-92.34984333","90","1","11.7","0.9",GPS,"80623","203937","1","0.342","0.774","32.099","1.826","2.139","19.233","39.213","5.004","35.66","41.41","30.5","1650.25","50.37","101.37","0.260592","0.140867"
"30.24745667","-92.34983833","90","1.1","11.8","0.9",GPS,"80623","203938","1","0.307","0.723","33.968","1.426","1.613","19.654","37.073","5.956","35.48","40.81","30.22","1692.94","47.13","101.36","0.26048","0.140774"
"30.24745667","-92.34983167","90","1.1","11.8","0.9",GPS,"80623","203939","1","0.124","0.329","34.244","0.327","0.2","22.301","28.611","14.447","35.31","40.19","32.96","1649.27","58.79","101.36","0.260371","0.140683"
"30.24745833","-92.34982667","90","1.1","11.7","0.9",GPS,"80623","203940","1","0.155","0.467","35.14","0.444","0.335","21.791","29.792","10.835","35.23","39.75","32.06","1520.13","65.08","101.36","0.260258","0.140583"
"30.24746","-92.34982167","90","1.1","11.8","0.9",GPS,"80623","203941","1","0.23","0.63","38.331","0.817","0.804","20.672","33.021","7.495","35.14","39.45","31.11","1455.81","45.65","101.36","0.260133","0.140485"
"30.24746","-92.34981833","90","1","11.9","0.9",GPS,"80623","203942","1","0.228","0.622","39.056","0.803","0.784","20.704","32.914","7.659","35","39.21","32.67","1337.41","86.65","101.36","0.26002","0.140379"
"30.24745833","-92.349815","90","0.7","11.9","0.9",GPS,"80623","203943","1","0.292","0.729","37.882","1.279","1.424","19.847","36.198","5.665","34.95","39.23","31.43","1414.94","48.31","101.36","0.259898","0.140284"
"30.24745833","-92.34981167","90","0.8","12","0.9",GPS,"80623","203944","1","0.36","0.796","33.989","2.08","2.461","19.022","40.421","4.589","35","39.56","30.99","1488.66","62.72","101.36","0.259794","0.140177"
"30.24745833","-92.349805","90","0.9","11.9","0.9",GPS,"80623","203945","1","0.36","0.821","29.527","2.08","2.451","19.022","40.42","3.981","35.07","40.19","29.56","1368.27","37.48","101.36","0.259688","0.140054"
"30.24745833","-92.34980167","90","1","11.9","0.9",GPS,"80623","203946","1","0.378","0.815","29.109","2.373","2.819","18.817","41.696","4.26","35.12","40.73","29.81","971.04","40.99","101.36","0.259579","0.139945"
"30.24745833","-92.34979833","90","0.7","12.2","0.9",GPS,"80623","203947","1","0.299","0.712","34.963","1.351","1.511","19.75","36.631","6.159","35.19","41.33","29.8","210.71","42.32","101.36","0.259571","0.139804"
"30.24745833","-92.349795","90","0.7","12.2","0.9",GPS,"80623","203948","1","0.145","0.552","38.161","0.406","0.322","21.946","29.417","8.502","35.24","41.45","31.03","1246.51","33.7","101.36","0.25956","0.139651"
"30.24745833","-92.34979","90","1","12.3","0.9",GPS,"80623","203949","1","0.207","0.651","33.927","0.687","0.659","20.996","31.98","6.76","35.28","41","32.85","1423.31","58.02","101.36","0.259444","0.139545"
"30.24745667","-92.34978333","90","1.1","12.2","0.9",GPS,"80623","203950","1","0.247","0.705","34.656","0.925","0.967","20.441","33.828","5.848","35.32","40.4","31.46","1485.15","57.23","101.36","0.259306","0.139455"
"30.24745667","-92.34977667","92.6","1.2","12.3","0.9",GPS,"80623","203951","1","0.181","0.473","47.223","0.556","0.449","21.386","30.847","11.033","35.36","40.59","32.64","1485.29","63.04","101.36","0.259185","0.13934"
"30.24745667","-92.34977","92.5","1.3","12.4","0.9",GPS,"80623","203952","1","0.277","0.755","35.703","1.152","1.271","20.035","35.395","4.939","35.4","41.13","32.53","1403.16","81.61","101.36","0.259045","0.139237"
"30.24745667","-92.34976333","92.5","1.1","12.5","0.9",GPS,"80623","203953","1","0.266","0.721","36.432","1.066","1.149","20.177","34.822","5.65","35.43","42.01","31.46","1405.97","47.16","101.36","0.258887","0.139151"
"30.24745667","-92.34975667","93.8","1.2","12.6","0.9",GPS,"80623","203954","1","0.136","0.483","36.968","0.371","0.271","22.096","29.068","10.134","35.47","42.46","32.88","1459.02","54.11","101.36","0.258772","0.139034"
"30.24745667","-92.34975167","93.8","1.1","12.6","0.9",GPS,"80623","203955","1","0.219","0.743","30.316","0.75","0.77","20.834","32.489","4.782","35.51","42.01","32.66","1371.61","87.16","101.36","0.258616","0.138933"
"30.24745667","-92.34974667","93.8","1","12.7","0.9",GPS,"80623","203956","1","0.263","0.771","27.966","1.041","1.137","20.223","34.646","4.478","35.54","40.98","31.75","1435.09","69.59","101.36","0.258484","0.138826"
"30.247455","-92.34974167","93.8","1","12.5","0.9",GPS,"80623","203957","1","0.246","0.697","34.472","0.917","0.954","20.456","33.773","6.031","35.57","40.19","31.76","1390.9","58.67","101.36","0.258335","0.13873"
"30.247455","-92.34973667","93.8","0.9","12.5","0.9",GPS,"80623","203958","1","0.239","0.649","36.533","0.872","0.878","20.551","33.437","7.126","35.6","39.76","32.72","1296.46","49.82","101.36","0.258192","0.138642"
"30.247455","-92.34973","93.8","1","12.5","0.9",GPS,"80623","203959","1","0.335","0.807","30.776","1.742","2.031","19.311","38.792","4.144","35.62","39.51","32.5","1253.64","63.29","101.36","0.258047","0.138536"
"30.247455","-92.349725","93.8","1","12.6","0.9",GPS,"80623","204000","1","0.323","0.818","29.435","1.598","1.849","19.457","38.033","3.808","35.63","39.55","30.56","1214.2","31.12","101.36","0.257881","0.138454"
"30.247455","-92.34972","93.8","0.9","12.7","0.9",GPS,"80623","204001","1","0.291","0.794","29.806","1.268","1.43","19.863","36.128","4.152","35.65","39.77","32.16","1173.11","42","101.36","0.257743","0.138343"
"30.247455","-92.349715","93.8","1","12.7","0.9",GPS,"80623","204002","1","0.207","0.598","43.515","0.687","0.638","20.997","31.979","8.038","35.66","39.89","32.56","1052.13","47.54","101.35","0.257576","0.138255"
"30.247455","-92.34971","93.8","0.9","12.7","0.9",GPS,"80623","204003","1","0.331","0.777","32.385","1.69","1.964","19.362","38.523","4.839","35.66","39.87","32.21","1070.61","87.7","101.35","0.257425","0.138147"
"30.247455","-92.349705","93.8","0.9","12.7","0.9",GPS,"80623","204004","1","0.358","0.807","32.588","2.045","2.412","19.049","40.261","4.288","35.66","39.47","30.11","1189.18","37.68","101.35","0.257264","0.138053"
"30.24745333","-92.3497","93.8","0.9","12.6","0.9",GPS,"80623","204005","1","0.244","0.678","38.335","0.904","0.93","20.483","33.676","6.47","35.68","38.94","32.38","1423.98","47.67","101.36","0.257097","0.13796"
"30.24745333","-92.34969667","93.8","0.9","12.6","0.9",GPS,"80623","204006","1","0.371","0.818","29.896","2.257","2.672","18.894","41.202","4.128","35.69","38.48","32.91","1461.09","111.15","101.36","0.256935","0.137856"
"30.24745333","-92.34969167","93.8","0.7","12.6","0.9",GPS,"80623","204007","1","0.387","0.831","30.652","2.531","2.999","18.72","42.338","3.897","35.7","38.35","29.88","1383.37","44.29","101.35","0.256765","0.137757"
"30.24745167","-92.34968833","93.8","0.8","12.6","0.9",GPS,"80623","204008","1","0.362","0.832","31.264","2.118","2.493","18.993","40.591","3.715","35.7","38.37","29.51","1214.7","28.05","101.35","0.256601","0.137649"
"30.24745167","-92.34968333","93.8","0.9","12.6","0.9",GPS,"80623","204009","1","0.312","0.797","32.524","1.474","1.69","19.596","37.347","4.212","35.7","38.26","30.78","1221.27","28.79","101.35","0.256433","0.137544"
"30.24745167","-92.34967833","93.8","1","12.7","0.9",GPS,"80623","204010","1","0.233","0.71","39.75","0.836","0.86","20.63","33.165","5.625","35.69","38.28","32.18","1109.9","37.46","101.35","0.256261","0.137447"
"30.24745167","-92.34967167","93.8","1","12.7","0.9",GPS,"80623","204011","1","0.317","0.82","28.476","1.526","1.76","19.536","37.638","3.716","35.68","38.3","31.22","1013","55.89","101.35","0.256084","0.137352"
"30.24745167","-92.349665","91.7","1.2","12.8","0.9",GPS,"80623","204012","1","0.329","0.836","26.048","1.667","1.937","19.385","38.403","3.44","35.64","38.3","29.97","954.6","38.67","101.35","0.255897","0.13726"
"30.24745167","-92.34966","97.7","1.3","12.8","0.9",GPS,"80623","204013","1","0.295","0.803","33.511","1.308","1.483","19.807","36.373","3.97","35.59","38.26","31.36","828.17","31.97","101.35","0.255729","0.13714"
"30.24745","-92.34965333","89.8","1.2","12.8","0.9",GPS,"80623","204014","1","0.368","0.868","23.128","2.206","2.582","18.929","40.982","2.887","35.56","38.51","30.23","762.19","40.6","101.35","0.255535","0.137038"
"30.24744833","-92.34964833","104.1","1.3","12.8","0.9",GPS,"80623","204015","1","0.383","0.867","24.267","2.466","2.888","18.759","42.076","2.986","35.51","38.94","29.44","828.05","39.72","101.35","0.255349","0.13692"
"30.24744833","-92.349645","104.1","0.3","12.8","0.9",GPS,"80623","204016","1","0.314","0.792","30.352","1.496","1.718","19.57","37.473","4.342","35.5","39.51","30.95","1315.49","33.2","101.35","0.255174","0.136795"
"30.24745","-92.34963833","95.4","1.3","12.9","0.9",GPS,"80623","204017","1","0.291","0.774","28.893","1.276","1.434","19.851","36.18","4.6","35.52","40.04","31.89","1221.98","33.98","101.35","0.254991","0.136688"
"30.24745","-92.349635","95.4","1","13","0.9",GPS,"80623","204018","1","0.362","0.831","28.526","2.115","2.49","18.995","40.58","3.757","35.56","40.49","30.42","1154.96","35.16","101.35","0.2548","0.136572"
"30.24745167","-92.34963167","95.4","0.9","13","0.9",GPS,"80623","204019","1","0.303","0.708","35.247","1.385","1.556","19.705","36.836","6.286","35.6","40.88","31.1","1378.93","29.85","101.35","0.254601","0.136468"
"30.24745167","-92.34962667","95.4","0.8","13.1","0.9",GPS,"80623","204020","1","0.116","0.325","39.652","0.299","0.177","22.443","28.309","14.427","35.65","41.49","33.44","1419.82","45.46","101.35","0.254416","0.136346"
"30.24745333","-92.34962333","95.4","0.8","13.1","0.9",GPS,"80623","204021","1","0.339","0.781","36.009","1.79","2.092","19.266","39.032","4.802","35.69","42.06","32.5","1515.94","75.53","101.35","0.254224","0.136224"
"30.24745333","-92.34961833","95.4","1","13.1","0.9",GPS,"80623","204022","1","0.315","0.736","34.076","1.509","1.724","19.555","37.546","5.711","35.71","42.47","31.22","1522.07","40.36","101.35","0.254048","0.136079"
"30.24745333","-92.34961333","95.4","1.1","13","0.9",GPS,"80623","204023","1","0.297","0.744","34.929","1.329","1.492","19.779","36.5","5.36","35.72","42.8","31.77","1397","34.46","101.35","0.253851","0.135953"
"30.24745333","-92.34960667","92.5","1.2","13","0.9",GPS,"80623","204024","1","0.235","0.708","33.605","0.851","0.877","20.597","33.278","5.68","35.72","43.19","33.4","1328.21","36.14","101.35","0.253657","0.135816"
"30.24745333","-92.34960167","92.1","1.2","13","0.9",GPS,"80623","204025","1","0.309","0.773","31.703","1.445","1.649","19.631","37.182","4.749","35.69","43.82","32.45","1345.6","40.68","101.35","0.253462","0.135675"
"30.24745333","-92.349595","92.1","1","12.9","0.9",GPS,"80623","204026","1","0.273","0.726","36.209","1.115","1.213","20.095","35.15","5.572","35.66","43.17","32","1275.79","36.38","101.35","0.253263","0.135536"
"30.24745333","-92.34958833","92.1","1.2","12.7","0.9",GPS,"80623","204027","1","0.24","0.704","38.429","0.879","0.91","20.537","33.487","5.806","35.66","42.74","33.77","1199.39","63.18","101.35","0.253077","0.13539"
"30.247455","-92.34958167","93.3","1.2","12.8","0.9",GPS,"80623","204028","1","0.326","0.805","32.074","1.627","1.885","19.426","38.188","4.122","35.68","42.6","32.08","1159.91","63.21","101.35","0.252883","0.135242"
"30.247455","-92.34957667","93.3","1","12.8","0.9",GPS,"80623","204029","1","0.269","0.731","40.5","1.091","1.184","20.136","34.987","5.443","35.71","42.69","31.06","1179.38","36.33","101.35","0.252678","0.135107"
"30.247455","-92.34957333","93.3","0.8","12.7","0.9",GPS,"80623","204030","1","0.257","0.707","48.009","0.995","1.055","20.305","34.332","5.886","35.72","42.58","31.54","1143.76","48.28","101.35","0.252489","0.13495"
"30.247455","-92.34957","93.3","0.7","12.7","0.9",GPS,"80623","204031","1","0.306","0.818","29.558","1.413","1.619","19.67","37","3.697","35.73","42.06","30.98","1210.79","57.77","101.35","0.25228","0.134808"
"30.24745667","-92.349565","93.3","0.9","12.7","0.9",GPS,"80623","204032","1","0.313","0.821","34.691","1.483","1.706","19.586","37.398","3.677","35.73","41.51","29.6","1296.55","51.47","101.35","0.252091","0.134649"
"30.24745667","-92.34956","93.3","0.8","12.6","0.9",GPS,"80623","204033","1","0.321","0.836","26.635","1.572","1.82","19.485","37.894","3.381","35.72","41.17","30.12","1336.89","43.92","101.35","0.25188","0.134507"
"30.247455","-92.349555","93.3","1.1","12.7","0.9",GPS,"80623","204034","1","0.292","0.751","27.377","1.283","1.435","19.842","36.218","5.139","35.69","41.36","30.68","1418.85","43.3","101.35","0.251692","0.134353"
"30.247455","-92.34955167","93.3","0.9","12.7","0.9",GPS,"80623","204035","1","0.171","0.552","36.975","0.509","0.427","21.547","30.416","8.768","35.64","41.57","33.01","1617.34","54.77","101.35","0.251481","0.134201"
"30.24745333","-92.34954667","93.3","0.8","12.7","0.9",GPS,"80623","204036","1","0.305","0.777","32.475","1.409","1.604","19.675","36.977","4.629","35.6","41.44","32.34","1448.09","73.99","101.35","0.251287","0.134033"
"30.247455","-92.34954167","93.3","1","12.7","0.9",GPS,"80623","204037","1","0.273","0.786","32.261","1.118","1.239","20.091","35.167","4.208","35.6","41.64","30.06","1352.98","46.97","101.35","0.251083","0.133865"
"30.247455","-92.34953667","93.3","1","12.8","0.9",GPS,"80623","204038","1","0.261","0.738","31.649","1.024","1.103","20.253","34.53","5.203","35.61","42.09","30.93","1409.38","49.31","101.35","0.250872","0.133706"
"30.24745667","-92.34953167","93.3","1","12.9","0.9",GPS,"80623","204039","1","0.15","0.461","46.091","0.425","0.316","21.866","29.61","10.92","35.61","42.48","33.2","1447.23","42.8","101.35","0.250677","0.133528"
"30.247455","-92.34952667","93.3","1","12.9","0.9",GPS,"80623","204040","1","0.148","0.447","40.814","0.415","0.303","21.907","29.512","11.283","35.59","42.89","33.14","1400.04","84.25","101.35","0.250454","0.133375"
"30.247455","-92.34952333","93.3","1.1","12.9","0.9",GPS,"80623","204041","1","0.13","0.346","46.457","0.347","0.219","22.206","28.82","13.993","35.6","43.64","33.54","1411.43","79.87","101.35","0.250264","0.133191"
"30.24745333","-92.34951833","93.3","1","13","0.9",GPS,"80623","204042","1","0.198","0.551","36.296","0.638","0.565","21.134","31.565","9.139","35.59","44.17","33.59","1469.62","90.34","101.35","0.250056","0.133018"
"30.24745333","-92.34951333","93.3","0.9","13","0.9",GPS,"80623","204043","1","0.336","0.805","33.166","1.752","2.042","19.302","38.838","4.199","35.59","43.83","30.78","1445.43","60.15","101.35","0.249842","0.132844"
"30.24745333","-92.34950833","93.3","1.1","13.1","0.9",GPS,"80623","204044","1","0.349","0.799","33.069","1.919","2.254","19.152","39.666","4.423","35.6","43.6","29.79","1418.31","37.18","101.35","0.249631","0.132676"
"30.247455","-92.34950333","93.3","0.8","13.2","0.9",GPS,"80623","204045","1","0.311","0.778","33.859","1.463","1.672","19.61","37.283","4.645","35.62","43.64","30.02","1428.55","31.31","101.35","0.249418","0.13251"
"30.247455","-92.3495","93.3","1.1","13.3","0.9",GPS,"80623","204046","1","0.295","0.742","35.646","1.313","1.471","19.8","36.405","5.39","35.64","44.16","31.51","1416.5","39.45","101.34","0.249223","0.132336"
"30.247455","-92.349495","93.3","0.7","13.4","0.9",GPS,"80623","204047","1","0.343","0.822","30.576","1.841","2.153","19.219","39.288","3.832","35.66","44.45","31.21","1398.4","41.64","101.34","0.24901","0.132166"
"30.247455","-92.34949167","93.3","1","13.5","0.9",GPS,"80623","204048","1","0.343","0.804","32.168","1.843","2.158","19.217","39.299","4.262","35.68","44.49","31.15","1468.52","44.3","101.34","0.248802","0.131992"
"30.24745667","-92.34948667","93.3","0.9","13.6","0.9",GPS,"80623","204049","1","0.213","0.574","36.026","0.715","0.661","20.921","32.212","8.706","35.67","44.47","31.35","1496.84","42.66","101.34","0.248589","0.131819"
"30.24745667","-92.34948167","93.3","0.9","13.7","0.9",GPS,"80623","204050","1","0.319","0.789","30.202","1.557","1.794","19.502","37.81","4.464","35.67","44.53","32.74","1503.66","71.57","101.34","0.248365","0.131651"
